Protocol,Voltage Swing Level,Pre-Emphasis Level,Swing Sel DW2 binary,N Scalar DW7 hex,Cursor Coeff DW4 hex,Post Cursor 2 DW4 hex,Post Cursor 1 DW4 hex,Rcomp Scalar DW2 hex,Rterm Select DW5 binary,3 Tap Disable DW5,2 Tap Disable DW5,Cursor program DW5,Coeff Polarity DW5,Platform
DPHBR2andHBR3,0,0,1010,0x35,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,0,1,1010,0x4F,0x37,0x00,0x08,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,0,2,1100,0x71,0x30,0x00,0x0F,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,0,3,110,0x7F,0x2B,0x00,0x14,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,1,0,1010,0x4C,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,1,1,1100,0x73,0x34,0x00,0x0B,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,1,2,110,0x7F,0x30,0x00,0x0F,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,2,0,1100,0x63,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,2,1,110,0x7F,0x38,0x00,0x07,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
DPHBR2andHBR3,3,0,110,0x7F,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,0,0,100,0x50,0x38,0x00,0x07,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,0,1,100,0x58,0x35,0x00,0x0A,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,0,2,100,0x60,0x34,0x00,0x0B,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,0,3,100,0x6A,0x32,0x00,0x0D,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,1,0,100,0x5E,0x38,0x00,0x07,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,1,1,100,0x61,0x36,0x00,0x09,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,1,2,100,0x6B,0x34,0x00,0x0B,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,2,0,100,0x69,0x39,0x00,0x06,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,2,1,100,0x73,0x37,0x00,0x08,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPuptoHBR2,3,0,100,0x7A,0x38,0x00,0x07,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,0,0,1010,0x35,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,0,1,1010,0x4F,0x37,0x00,0x08,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,0,2,1100,0x71,0x30,0x00,0x0F,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,0,3,110,0x7F,0x2b,0x00,0x14,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,1,0,1010,0x4C,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,1,1,1100,0x73,0x34,0x00,0x0B,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,1,2,110,0x7F,0x30,0x00,0x0F,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,2,0,1100,0x63,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,2,1,110,0x7F,0x38,0x00,0x07,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
eDPHBR3,3,0,110,0x7F,0x3F,0x00,0x00,0x98,110,1,0,0,0,"[ADLP, MTL, ARL, XE2_D, BMG]"
